Name,Type,County,Population (2010)

Name,Type,County,Population (2010)
Adelanto,City,San Bernardino,"31,765"
Agoura Hills,City,Los Angeles,"20,330"
Alameda,City,Alameda,"73,812"
Albany,City,Alameda,"18,539"
Alhambra,City,Los Angeles,"83,089"
Aliso Viejo,City,Orange,"47,823"
Alturas,City,Modoc,"2,827"
Amador City,City,Amador,185
American Canyon,City,Napa,"19,454"
Anaheim,City,Orange,"3,36,265"
Anderson,City,Shasta,"9,932"
Angels Camp,City,Calaveras,"3,836"
Antioch,City,Contra Costa,"1,02,372"
Apple Valley,Town,San Bernardino,"69,135"
Arcadia,City,Los Angeles,"56,364"
Arcata,City,Humboldt,"17,231"
Arroyo Grande,City,San Luis Obispo,"17,252"
Artesia,City,Los Angeles,"16,522"
Arvin,City,Kern,"19,304"
Atascadero,City,San Luis Obispo,"28,310"
Atherton,Town,San Mateo,"6,914"
Atwater,City,Merced,"28,168"
Auburn,City,Placer,"13,330"
Avalon,City,Los Angeles,"3,728"
Avenal,City,Kings,"15,505"
Azusa,City,Los Angeles,"46,361"
Bakersfield,City,Kern,"3,47,483"
Baldwin Park,City,Los Angeles,"75,390"
Banning,City,Riverside,"29,603"
Barstow,City,San Bernardino,"22,639"
Beaumont,City,Riverside,"36,877"
Bell,City,Los Angeles,"35,477"
Bell Gardens,City,Los Angeles,"42,072"
Bellflower,City,Los Angeles,"76,616"
Belmont,City,San Mateo,"25,835"
Belvedere,City,Marin,"2,068"
Benicia,City,Solano,"26,997"
Berkeley,City,Alameda,"1,12,580"
Beverly Hills,City,Los Angeles,"34,109"
Big Bear Lake,City,San Bernardino,"5,019"
Biggs,City,Butte,"1,707"
Bishop,City,Inyo,"3,879"
Blue Lake,City,Humboldt,"1,253"
Blythe,City,Riverside,"20,817"
Bradbury,City,Los Angeles,"1,048"
Brawley,City,Imperial,"24,953"
Brea,City,Orange,"39,282"
Brentwood,City,Contra Costa,"51,481"
Brisbane,City,San Mateo,"4,282"
Buellton,City,Santa Barbara,"4,828"
Buena Park,City,Orange,"80,530"
Burbank,City,Los Angeles,"1,03,340"
Burlingame,City,San Mateo,"28,806"
Calabasas,City,Los Angeles,"23,058"
Calexico,City,Imperial,"38,572"
California City,City,Kern,"14,120"
Calimesa,City,Riverside,"7,879"
Calipatria,City,Imperial,"7,705"
Calistoga,City,Napa,"5,155"
Camarillo,City,Ventura,"65,201"
Campbell,City,Santa Clara,"39,349"
Canyon Lake,City,Riverside,"10,561"
Capitola,City,Santa Cruz,"9,918"
Carlsbad,City,San Diego,"1,05,328"
Carmel-by-the-Sea,City,Monterey,"3,722"
Carpinteria,City,Santa Barbara,"13,040"
Carson,City,Los Angeles,"91,714"
Cathedral City,City,Riverside,"51,200"
Ceres,City,Stanislaus,"45,417"
Cerritos,City,Los Angeles,"49,041"
Chico,City,Butte,"86,187"
Chino,City,San Bernardino,"77,983"
Chino Hills,City,San Bernardino,"74,799"
Chowchilla,City,Madera,"18,720"
Chula Vista,City,San Diego,"2,43,916"
Citrus Heights,City,Sacramento,"83,301"
Claremont,City,Los Angeles,"34,926"
Clayton,City,Contra Costa,"10,897"
Clearlake,City,Lake,"15,250"
Cloverdale,City,Sonoma,"8,618"
Clovis,City,Fresno,"95,631"
Coachella,City,Riverside,"40,704"
Coalinga,City,Fresno,"13,380"
Colfax,City,Placer,"1,963"
Colma,Town,San Mateo,"1,792"
Colton,City,San Bernardino,"52,154"
Colusa,City,Colusa,"5,971"
Commerce,City,Los Angeles,"12,823"
Compton,City,Los Angeles,"96,455"
Concord,City,Contra Costa,"1,22,067"
Corcoran,City,Kings,"24,813"
Corning,City,Tehama,"7,663"
Corona,City,Riverside,"1,52,374"
Coronado,City,San Diego,"24,697"
Corte Madera,Town,Marin,"9,253"
Costa Mesa,City,Orange,"1,09,960"
Cotati,City,Sonoma,"7,265"
Covina,City,Los Angeles,"47,796"
Crescent City,City,Del Norte,"7,643"
Cudahy,City,Los Angeles,"23,805"
Culver City,City,Los Angeles,"38,883"
Cupertino,City,Santa Clara,"58,302"
Cypress,City,Orange,"47,802"
Daly City,City,San Mateo,"1,01,123"
Dana Point,City,Orange,"33,351"
Danville,Town,Contra Costa,"42,039"
Davis,City,Yolo,"65,622"
Del Mar,City,San Diego,"4,161"
Del Rey Oaks,City,Monterey,"1,624"
Delano,City,Kern,"53,041"
Desert Hot Springs,City,Riverside,"25,938"
Diamond Bar,City,Los Angeles,"55,544"
Dinuba,City,Tulare,"21,453"
Dixon,City,Solano,"18,351"
Dorris,City,Siskiyou,939
Dos Palos,City,Merced,"4,950"
Downey,City,Los Angeles,"1,11,772"
Duarte,City,Los Angeles,"21,321"
Dublin,City,Alameda,"46,036"
Dunsmuir,City,Siskiyou,"1,650"
East Palo Alto,City,San Mateo,"28,155"
Eastvale,City,Riverside,"53,670[9]"
El Cajon,City,San Diego,"99,478"
El Centro,City,Imperial,"42,598"
El Cerrito,City,Contra Costa,"23,549"
El Monte,City,Los Angeles,"1,13,475"
El Segundo,City,Los Angeles,"16,654"
Elk Grove,City,Sacramento,"1,53,015"
Emeryville,City,Alameda,"10,080"
Encinitas,City,San Diego,"59,518"
Escalon,City,San Joaquin,"7,132"
Escondido,City,San Diego,"1,43,911"
Etna,City,Siskiyou,737
Eureka,City,Humboldt,"27,191"
Exeter,City,Tulare,"10,334"
Fairfax,Town,Marin,"7,441"
Fairfield,City,Solano,"1,05,321"
Farmersville,City,Tulare,"10,588"
Ferndale,City,Humboldt,"1,371"
Fillmore,City,Ventura,"15,002"
Firebaugh,City,Fresno,"7,549"
Folsom,City,Sacramento,"72,203"
Fontana,City,San Bernardino,"1,96,069"
Fort Bragg,City,Mendocino,"7,273"
Fort Jones,City,Siskiyou,839
Fortuna,City,Humboldt,"11,926"
Foster City,City,San Mateo,"30,567"
Fountain Valley,City,Orange,"55,313"
Fowler,City,Fresno,"5,570"
Fremont,City,Alameda,"2,14,089"
Fresno,City,Fresno,"4,94,665"
Fullerton,City,Orange,"1,35,161"
Galt,City,Sacramento,"23,647"
Garden Grove,City,Orange,"1,70,883"
Gardena,City,Los Angeles,"58,829"
Gilroy,City,Santa Clara,"48,821"
Glendale,City,Los Angeles,"1,91,719"
Glendora,City,Los Angeles,"50,073"
Goleta,City,Santa Barbara,"29,888"
Gonzales,City,Monterey,"8,187"
Grand Terrace,City,San Bernardino,"12,040"
Grass Valley,City,Nevada,"12,860"
Greenfield,City,Monterey,"16,330"
Gridley,City,Butte,"6,584"
Grover Beach,City,San Luis Obispo,"13,156"
Guadalupe,City,Santa Barbara,"7,080"
Gustine,City,Merced,"5,520"
Half Moon Bay,City,San Mateo,"11,324"
Hanford,City,Kings,"53,967"
Hawaiian Gardens,City,Los Angeles,"14,254"
Hawthorne,City,Los Angeles,"84,293"
Hayward,City,Alameda,"1,44,186"
Healdsburg,City,Sonoma,"11,254"
Hemet,City,Riverside,"78,657"
Hercules,City,Contra Costa,"24,060"
Hermosa Beach,City,Los Angeles,"19,506"
Hesperia,City,San Bernardino,"90,173"
Hidden Hills,City,Los Angeles,"1,856"
Highland,City,San Bernardino,"53,104"
Hillsborough,Town,San Mateo,"10,825"
Hollister,City,San Benito,"34,928"
Holtville,City,Imperial,"5,939"
Hughson,City,Stanislaus,"6,640"
Huntington Beach,City,Orange,"1,89,992"
Huntington Park,City,Los Angeles,"58,114"
Huron,City,Fresno,"6,754"
Imperial,City,Imperial,"14,758"
Imperial Beach,City,San Diego,"26,324"
Indian Wells,City,Riverside,"4,958"
Indio,City,Riverside,"76,036"
Industry,City,Los Angeles,219
Inglewood,City,Los Angeles,"1,09,673"
Ione,City,Amador,"7,918"
Irvine,City,Orange,"2,12,375"
Irwindale,City,Los Angeles,"1,422"
Isleton,City,Sacramento,804
Jackson,City,Amador,"4,651"
Jurupa Valley,City,Riverside,"95,004[10]"
Kerman,City,Fresno,"13,544"
King City,City,Monterey,"12,874"
Kingsburg,City,Fresno,"11,382"
La Cañada Flintridge,City,Los Angeles,"20,246"
La Habra,City,Orange,"60,239"
La Habra Heights,City,Los Angeles,"5,325"
La Mesa,City,San Diego,"57,065"
La Mirada,City,Los Angeles,"48,527"
La Palma,City,Orange,"15,568"
La Puente,City,Los Angeles,"39,816"
La Quinta,City,Riverside,"37,467"
La Verne,City,Los Angeles,"31,063"
Lafayette,City,Contra Costa,"23,893"
Laguna Beach,City,Orange,"22,723"
Laguna Hills,City,Orange,"30,344"
Laguna Niguel,City,Orange,"62,979"
Laguna Woods,City,Orange,"16,192"
Lake Elsinore,City,Riverside,"51,821"
Lake Forest,City,Orange,"77,264"
Lakeport,City,Lake,"4,753"
Lakewood,City,Los Angeles,"80,048"
Lancaster,City,Los Angeles,"1,56,633"
Larkspur,City,Marin,"11,926"
Lathrop,City,San Joaquin,"18,023"
Lawndale,City,Los Angeles,"32,769"
Lemon Grove,City,San Diego,"25,320"
Lemoore,City,Kings,"24,531"
Lincoln,City,Placer,"42,819"
Lindsay,City,Tulare,"11,768"
Live Oak,City,Sutter,"8,392"
Livermore,City,Alameda,"80,968"
Livingston,City,Merced,"13,058"
Lodi,City,San Joaquin,"62,134"
Loma Linda,City,San Bernardino,"23,261"
Lomita,City,Los Angeles,"20,256"
Lompoc,City,Santa Barbara,"42,434"
Long Beach,City,Los Angeles,"4,62,257"
Loomis,Town,Placer,"6,430"
Los Alamitos,City,Orange,"11,449"
Los Altos,City,Santa Clara,"28,976"
Los Altos Hills,Town,Santa Clara,"7,922"
Los Angeles,City,Los Angeles,"37,92,621"
Los Banos,City,Merced,"35,972"
Los Gatos,Town,Santa Clara,"29,413"
Loyalton,City,Sierra,769
Lynwood,City,Los Angeles,"69,772"
Madera,City,Madera,"61,416"
Malibu,City,Los Angeles,"12,645"
Mammoth Lakes,Town,Mono,"8,234"
Manhattan Beach,City,Los Angeles,"35,135"
Manteca,City,San Joaquin,"67,096"
Maricopa,City,Kern,"1,154"
Marina,City,Monterey,"19,718"
Martinez,City,Contra Costa,"35,824"
Marysville,City,Yuba,"12,072"
Maywood,City,Los Angeles,"27,395"
McFarland,City,Kern,"12,707"
Mendota,City,Fresno,"11,014"
Menifee,City,Riverside,"77,519"
Menlo Park,City,San Mateo,"32,026"
Merced,City,Merced,"78,958"
Mill Valley,City,Marin,"13,903"
Millbrae,City,San Mateo,"21,532"
Milpitas,City,Santa Clara,"66,790"
Mission Viejo,City,Orange,"93,305"
Modesto,City,Stanislaus,"2,01,165"
Monrovia,City,Los Angeles,"36,590"
Montague,City,Siskiyou,"1,443"
Montclair,City,San Bernardino,"36,664"
Monte Sereno,City,Santa Clara,"3,341"
Montebello,City,Los Angeles,"62,500"
Monterey,City,Monterey,"27,810"
Monterey Park,City,Los Angeles,"60,269"
Moorpark,City,Ventura,"34,421"
Moraga,Town,Contra Costa,"16,016"
Moreno Valley,City,Riverside,"1,93,365"
Morgan Hill,City,Santa Clara,"37,882"
Morro Bay,City,San Luis Obispo,"10,234"
Mount Shasta,City,Siskiyou,"3,394"
Mountain View,City,Santa Clara,"74,066"
Murrieta,City,Riverside,"1,03,466"
Napa,City,Napa,"76,915"
National City,City,San Diego,"58,582"
Needles,City,San Bernardino,"4,844"
Nevada City,City,Nevada,"3,068"
Newark,City,Alameda,"42,573"
Newman,City,Stanislaus,"10,224"
Newport Beach,City,Orange,"85,186"
Norco,City,Riverside,"27,063"
Norwalk,City,Los Angeles,"1,05,549"
Novato,City,Marin,"51,904"
Oakdale,City,Stanislaus,"20,675"
Oakland,City,Alameda,"3,90,724"
Oakley,City,Contra Costa,"35,432"
Oceanside,City,San Diego,"1,67,086"
Ojai,City,Ventura,"7,461"
Ontario,City,San Bernardino,"1,63,924"
Orange,City,Orange,"1,34,616"
Orange Cove,City,Fresno,"9,078"
Orinda,City,Contra Costa,"17,643"
Orland,City,Glenn,"7,291"
Oroville,City,Butte,"15,546"
Oxnard,City,Ventura,"1,97,899"
Pacific Grove,City,Monterey,"15,041"
Pacifica,City,San Mateo,"37,234"
Palm Desert,City,Riverside,"48,445"
Palm Springs,City,Riverside,"44,552"
Palmdale,City,Los Angeles,"1,52,750"
Palo Alto,City,Santa Clara,"64,403"
Palos Verdes Estates,City,Los Angeles,"13,438"
Paradise,Town,Butte,"26,218"
Paramount,City,Los Angeles,"54,098"
Parlier,City,Fresno,"14,494"
Pasadena,City,Los Angeles,"1,37,122"
Paso Robles,City,San Luis Obispo,"29,793"
Patterson,City,Stanislaus,"20,413"
Perris,City,Riverside,"68,386"
Petaluma,City,Sonoma,"57,941"
Pico Rivera,City,Los Angeles,"62,942"
Piedmont,City,Alameda,"10,667"
Pinole,City,Contra Costa,"18,390"
Pismo Beach,City,San Luis Obispo,"7,655"
Pittsburg,City,Contra Costa,"63,264"
Placentia,City,Orange,"50,533"
Placerville,City,El Dorado,"10,389"
Pleasant Hill,City,Contra Costa,"33,152"
Pleasanton,City,Alameda,"70,285"
Plymouth,City,Amador,"1,005"
Point Arena,City,Mendocino,449
Pomona,City,Los Angeles,"1,49,058"
Port Hueneme,City,Ventura,"21,723"
Porterville,City,Tulare,"54,165"
Portola,City,Plumas,"2,104"
Portola Valley,Town,San Mateo,"4,353"
Poway,City,San Diego,"47,811"
Rancho Cordova,City,Sacramento,"64,776"
Rancho Cucamonga,City,San Bernardino,"1,65,269"
Rancho Mirage,City,Riverside,"17,218"
Rancho Palos Verdes,City,Los Angeles,"41,643"
Rancho Santa Margarita,City,Orange,"47,853"
Red Bluff,City,Tehama,"14,076"
Redding,City,Shasta,"89,861"
Redlands,City,San Bernardino,"68,747"
Redondo Beach,City,Los Angeles,"66,747"
Redwood City,City,San Mateo,"76,815"
Reedley,City,Fresno,"24,194"
Rialto,City,San Bernardino,"99,171"
Richmond,City,Contra Costa,"1,03,701"
Ridgecrest,City,Kern,"27,616"
Rio Dell,City,Humboldt,"3,368"
Rio Vista,City,Solano,"7,360"
Ripon,City,San Joaquin,"14,297"
Riverbank,City,Stanislaus,"22,678"
Riverside,City,Riverside,"3,03,871"
Rocklin,City,Placer,"56,974"
Rohnert Park,City,Sonoma,"40,971"
Rolling Hills,City,Los Angeles,"1,860"
Rolling Hills Estates,City,Los Angeles,"8,067"
Rosemead,City,Los Angeles,"53,764"
Roseville,City,Placer,"1,18,788"
Ross,Town,Marin,"2,415"
Sacramento,City,Sacramento,"4,66,488"
Salinas,City,Monterey,"1,50,441"
San Anselmo,Town,Marin,"12,336"
San Bernardino,City,San Bernardino,"2,09,924"
San Bruno,City,San Mateo,"41,114"
San Carlos,City,San Mateo,"28,406"
San Clemente,City,Orange,"63,522"
San Diego,City,San Diego,"13,01,617"
San Dimas,City,Los Angeles,"33,371"
San Fernando,City,Los Angeles,"23,645"
San Francisco,City and county,San Francisco,"8,05,235"
San Gabriel,City,Los Angeles,"39,718"
San Jacinto,City,Riverside,"44,199"
San Joaquin,City,Fresno,"4,001"
San Jose,City,Santa Clara,"9,45,942"
San Juan Bautista,City,San Benito,"1,862"
San Juan Capistrano,City,Orange,"34,593"
San Leandro,City,Alameda,"84,950"
San Luis Obispo,City,San Luis Obispo,"45,119"
San Marcos,City,San Diego,"83,781"
San Marino,City,Los Angeles,"13,147"
San Mateo,City,San Mateo,"97,207"
San Pablo,City,Contra Costa,"29,139"
San Rafael,City,Marin,"57,713"
San Ramon,City,Contra Costa,"72,148"
Sand City,City,Monterey,334
Sanger,City,Fresno,"24,270"
Santa Ana,City,Orange,"3,24,528"
Santa Barbara,City,Santa Barbara,"88,410"
Santa Clara,City,Santa Clara,"1,16,468"
Santa Clarita,City,Los Angeles,"1,76,320"
Santa Cruz,City,Santa Cruz,"59,946"
Santa Fe Springs,City,Los Angeles,"16,223"
Santa Maria,City,Santa Barbara,"99,553"
Santa Monica,City,Los Angeles,"89,736"
Santa Paula,City,Ventura,"29,321"
Santa Rosa,City,Sonoma,"1,67,815"
Santee,City,San Diego,"53,413"
Saratoga,City,Santa Clara,"29,926"
Sausalito,City,Marin,"7,061"
Scotts Valley,City,Santa Cruz,"11,580"
Seal Beach,City,Orange,"24,168"
Seaside,City,Monterey,"33,025"
Sebastopol,City,Sonoma,"7,379"
Selma,City,Fresno,"23,219"
Shafter,City,Kern,"16,988"
Shasta Lake,City,Shasta,"10,164"
Sierra Madre,City,Los Angeles,"10,917"
Signal Hill,City,Los Angeles,"11,016"
Simi Valley,City,Ventura,"1,24,237"
Solana Beach,City,San Diego,"12,867"
Soledad,City,Monterey,"25,738"
Solvang,City,Santa Barbara,"5,245"
Sonoma,City,Sonoma,"10,648"
Sonora,City,Tuolumne,"4,903"
South El Monte,City,Los Angeles,"20,116"
South Gate,City,Los Angeles,"94,396"
South Lake Tahoe,City,El Dorado,"21,403"
South Pasadena,City,Los Angeles,"25,619"
South San Francisco,City,San Mateo,"63,632"
St. Helena,City,Napa,"5,814"
Stanton,City,Orange,"38,186"
Stockton,City,San Joaquin,"2,91,707"
Suisun City,City,Solano,"28,111"
Sunnyvale,City,Santa Clara,"1,40,081"
Susanville,City,Lassen,"17,947"
Sutter Creek,City,Amador,"2,501"
Taft,City,Kern,"9,327"
Tehachapi,City,Kern,"14,414"
Tehama,City,Tehama,418
Temecula,City,Riverside,"1,00,097"
Temple City,City,Los Angeles,"35,558"
Thousand Oaks,City,Ventura,"1,26,683"
Tiburon,Town,Marin,"8,962"
Torrance,City,Los Angeles,"1,45,538"
Tracy,City,San Joaquin,"82,922"
Trinidad,City,Humboldt,367
Truckee,Town,Nevada,"16,180"
Tulare,City,Tulare,"59,278"
Tulelake,City,Siskiyou,"1,010"
Turlock,City,Stanislaus,"68,549"
Tustin,City,Orange,"75,540"
Twentynine Palms,City,San Bernardino,"25,048"
Ukiah,City,Mendocino,"16,075"
Union City,City,Alameda,"69,516"
Upland,City,San Bernardino,"73,732"
Vacaville,City,Solano,"92,428"
Vallejo,City,Solano,"1,15,942"
Ventura,City,Ventura,"1,06,433"
Vernon,City,Los Angeles,112
Victorville,City,San Bernardino,"1,15,903"
Villa Park,City,Orange,"5,812"
Visalia,City,Tulare,"1,24,442"
Vista,City,San Diego,"93,834"
Walnut,City,Los Angeles,"29,172"
Walnut Creek,City,Contra Costa,"64,173"
Wasco,City,Kern,"25,545"
Waterford,City,Stanislaus,"8,456"
Watsonville,City,Santa Cruz,"51,199"
Weed,City,Siskiyou,"2,967"
West Covina,City,Los Angeles,"1,06,098"
West Hollywood,City,Los Angeles,"34,399"
West Sacramento,City,Yolo,"48,744"
Westlake Village,City,Los Angeles,"8,270"
Westminster,City,Orange,"89,701"
Westmorland,City,Imperial,"2,225"
Wheatland,City,Yuba,"3,456"
Whittier,City,Los Angeles,"85,331"
Wildomar,City,Riverside,"32,176"
Williams,City,Colusa,"5,123"
Willits,City,Mendocino,"4,888"
Willows,City,Glenn,"6,166"
Windsor,Town,Sonoma,"26,801"
Winters,City,Yolo,"6,624"
Woodlake,City,Tulare,"7,279"
Woodland,City,Yolo,"55,468"
Woodside,Town,San Mateo,"5,287"
Yorba Linda,City,Orange,"64,234"
Yountville,Town,Napa,"2,933"
Yreka,City,Siskiyou,"7,765"
Yuba City,City,Sutter,"64,925"
Yucaipa,City,San Bernardino,"51,367"
Yucca Valley,Town,San Bernardino,"20,700"
,,,
For other more formats kindly visit www.downloadexcelfiles.com,,,
,,,
Original source : en.wikipedia.org/wiki/List_of_cities_in_California,,,